price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,mainroad_yes,mainroad_no,guestroom_yes,guestroom_no,basement_yes,basement_no,hotwaterheating_yes,hotwaterheating_no,airconditioning_yes,airconditioning_no,prefarea_yes,prefarea_no,furnished,semi-furnished,unfurnished
4098500,-0.7151451191,0.4000000000,0.0000000000,0.0000000000,1,0,1,0,1,0.0000000000,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0
4403000,-1.0472255937,0.4000000000,0.0000000000,0.3333333333,1,0,0,0,0,0.0000000000,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0
8960000,1.5448470002,0.4000000000,0.3333333333,1.0000000000,1,0,0,0,1,0.6666666667,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0
7350000,0.3917897965,0.4000000000,0.3333333333,0.3333333333,1,1,0,0,1,0.3333333333,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0
6090000,1.4858104714,0.4000000000,0.0000000000,0.6666666667,1,0,0,0,1,0.6666666667,0,-1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1
3500000,3.5945214856,0.4000000000,0.0000000000,0.0000000000,1,0,0,0,0,0.0000000000,0,-1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1
3885000,-0.9088587293,0.6000000000,0.3333333333,0.3333333333,1,0,0,0,0,0.0000000000,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0
4830000,-0.1547593181,0.2000000000,0.0000000000,0.0000000000,1,0,0,0,1,0.0000000000,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
5110000,2.8870055854,0.2000000000,0.0000000000,0.3333333333,1,0,0,0,0,0.0000000000,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0
3360000,-0.6459616868,0.4000000000,0.0000000000,0.0000000000,1,0,0,0,0,0.0000000000,0,-1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1
2940000,-1.1302457124,0.2000000000,0.0000000000,0.0000000000,0,0,0,0,0,0.0000000000,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
5950000,0.8622371356,0.4000000000,0.0000000000,0.0000000000,1,0,1,0,1,0.6666666667,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0
4200000,-1.0135563234,0.4000000000,0.0000000000,0.3333333333,1,0,1,0,1,0.0000000000,0,-1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
3920000,-1.3862244116,0.6000000000,0.3333333333,0.0000000000,1,0,1,0,0,0.0000000000,1,-1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1
2590000,-0.7151451191,0.2000000000,0.0000000000,0.0000000000,1,0,0,0,0,0.0000000000,0,-1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1
3570000,-0.3000445257,0.6000000000,0.3333333333,0.3333333333,1,0,1,0,0,0.6666666667,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0
3360000,-0.7612674072,0.6000000000,0.0000000000,0.3333333333,1,0,0,0,1,0.6666666667,0,-1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1
6195000,0.5532178050,0.4000000000,0.3333333333,0.6666666667,1,1,0,0,1,0.0000000000,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0
4060000,-0.9918788480,0.6000000000,0.0000000000,0.6666666667,1,0,1,0,1,0.6666666667,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
1960000,-0.7981652377,0.8000000000,0.0000000000,0.3333333333,0,0,0,0,0,0.0000000000,0,-1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
3640000,-0.4015135597,0.2000000000,0.0000000000,0.0000000000,1,0,0,0,1,0.6666666667,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
4025000,-0.7797163225,0.4000000000,0.3333333333,0.0000000000,1,0,1,0,1,0.3333333333,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
2660000,-0.5306559665,0.4000000000,0.0000000000,0.0000000000,1,0,0,0,0,0.0000000000,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
3395000,-0.7843285513,0.4000000000,0.0000000000,0.0000000000,1,0,1,0,0,0.6666666667,0,-1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1
4480000,-0.5306559665,0.4000000000,0.0000000000,0.3333333333,1,0,0,0,0,0.6666666667,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0
3115000,-0.9918788480,0.4000000000,0.0000000000,0.0000000000,0,0,0,0,1,0.0000000000,0,-1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1
7560000,0.3917897965,0.6000000000,0.3333333333,1.0000000000,1,0,0,0,1,0.3333333333,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0
4007500,-0.7797163225,0.6000000000,0.0000000000,0.3333333333,1,0,0,0,1,0.0000000000,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
4130000,-0.2391631054,0.6000000000,0.0000000000,0.3333333333,1,0,0,0,1,0.0000000000,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
4200000,-0.3000445257,0.4000000000,0.0000000000,0.0000000000,1,0,1,0,0,0.0000000000,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0
2852500,0.0228114913,0.6000000000,0.0000000000,0.6666666667,1,0,0,0,0,0.0000000000,0,-1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1
4690000,0.1150560676,0.2000000000,0.0000000000,0.3333333333,1,0,0,0,0,0.0000000000,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0
2233000,0.0689337795,0.4000000000,0.0000000000,0.0000000000,0,0,0,0,1,0.0000000000,1,-1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1
5383000,0.5993400932,0.4000000000,0.3333333333,0.0000000000,1,1,1,1,0,0.0000000000,0,-1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1
3710000,-0.7151451191,0.4000000000,0.0000000000,0.0000000000,1,0,0,0,0,0.3333333333,0,-1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1
3850000,0.0689337795,0.8000000000,0.3333333333,0.3333333333,1,0,0,0,0,0.0000000000,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5005000,1.3834189917,0.4000000000,0.3333333333,0.0000000000,1,1,1,0,0,0.0000000000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0
3360000,-0.9457565598,0.4000000000,0.0000000000,0.3333333333,0,0,1,0,0,0.0000000000,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
2940000,0.6754418686,0.4000000000,0.0000000000,0.3333333333,1,0,0,0,0,0.0000000000,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5250000,2.1444367462,0.6000000000,0.3333333333,0.3333333333,1,1,0,0,0,0.6666666667,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0
4200000,-0.3415545851,0.2000000000,0.0000000000,0.0000000000,0,0,0,0,0,0.3333333333,0,-1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
7560000,0.3917897965,0.4000000000,0.3333333333,0.6666666667,1,0,0,0,1,0.0000000000,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
3010000,-0.0343801460,0.4000000000,0.0000000000,0.0000000000,0,0,0,0,0,0.0000000000,0,-1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
6755000,0.3917897965,0.6000000000,0.3333333333,1.0000000000,1,0,0,0,1,0.0000000000,0,-1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1
5600000,0.6685235254,0.6000000000,0.3333333333,0.0000000000,1,0,1,0,0,0.0000000000,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0
4200000,-0.2539222376,0.4000000000,0.3333333333,0.3333333333,1,0,0,0,1,0.3333333333,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
3003000,1.3372967036,0.2000000000,0.0000000000,0.0000000000,1,0,0,0,0,0.0000000000,0,-1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1
5110000,-0.9918788480,0.4000000000,0.0000000000,0.3333333333,1,0,1,0,0,0.0000000000,0,-1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1
4956000,-1.0841234243,0.4000000000,0.3333333333,0.3333333333,0,0,1,0,1,0.3333333333,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0
7350000,-0.0002496528,0.4000000000,0.3333333333,1.0000000000,1,0,0,0,1,0.6666666667,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
3150000,-0.7612674072,0.2000000000,0.0000000000,0.0000000000,0,0,1,0,0,0.0000000000,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
4060000,-0.3738401868,0.4000000000,0.0000000000,0.0000000000,1,0,0,0,0,0.0000000000,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5950000,1.0006040001,0.6000000000,0.3333333333,0.3333333333,1,0,0,0,0,0.0000000000,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0
3640000,-0.9088587293,0.4000000000,0.0000000000,0.3333333333,0,0,1,0,0,0.0000000000,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
5110000,-0.9918788480,0.4000000000,0.3333333333,0.3333333333,1,1,1,0,0,0.0000000000,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0
