price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,mainroad_yes,mainroad_no,guestroom_yes,guestroom_no,basement_yes,basement_no,hotwaterheating_yes,hotwaterheating_no,airconditioning_yes,airconditioning_no,prefarea_yes,prefarea_no,furnished,semi-furnished,unfurnished
4900000,3.5742276788,0.4000000000,0.0000000000,0.0000000000,1,0,0,0,0,0.6666666667,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0
4319000,-0.5158968343,0.2000000000,0.0000000000,0.0000000000,1,0,1,0,0,0.0000000000,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0
8463000,0.3917897965,0.4000000000,0.3333333333,1.0000000000,1,1,1,0,1,0.0000000000,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0
3430000,-1.1717557717,0.4000000000,0.0000000000,0.3333333333,1,0,1,0,0,0.0000000000,1,-1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1
8645000,1.3372967036,0.4000000000,0.0000000000,0.0000000000,1,1,1,0,1,0.3333333333,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0
4865000,-0.3692279579,0.2000000000,0.0000000000,0.0000000000,1,0,1,0,0,0.0000000000,0,-1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1
6440000,-0.0694330850,0.4000000000,0.0000000000,0.3333333333,1,0,0,0,1,0.0000000000,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
6293000,0.6685235254,0.4000000000,0.3333333333,0.6666666667,1,0,0,0,1,0.0000000000,1,-1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1
9681000,0.3917897965,0.6000000000,0.6666666667,0.3333333333,1,1,1,1,0,0.6666666667,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
2275000,-0.5444926529,0.0000000000,0.0000000000,0.0000000000,0,0,0,0,0,0.0000000000,0,-1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
6160000,0.1381172117,0.6000000000,0.3333333333,0.0000000000,1,0,1,0,1,0.0000000000,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0
4340000,-0.7612674072,0.6000000000,0.0000000000,0.3333333333,1,0,0,0,0,0.6666666667,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0
4543000,-0.0740453138,0.6000000000,0.3333333333,0.3333333333,1,1,1,0,0,0.0000000000,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0
3220000,-0.3600035003,0.4000000000,0.0000000000,0.3333333333,1,0,0,0,0,0.0000000000,0,-1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1
3500000,1.0144406865,0.2000000000,0.0000000000,0.0000000000,1,0,0,0,0,0.3333333333,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5740000,0.2995452202,0.4000000000,0.3333333333,1.0000000000,1,0,0,0,1,0.0000000000,0,-1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1
7875000,0.6454623813,0.4000000000,0.0000000000,0.3333333333,1,0,1,0,1,0.0000000000,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0
2870000,0.3917897965,0.2000000000,0.0000000000,0.0000000000,1,0,0,0,0,0.0000000000,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
3395000,-0.1685960045,0.4000000000,0.0000000000,0.3333333333,1,1,1,0,1,0.3333333333,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0
