price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,mainroad_yes,mainroad_no,guestroom_yes,guestroom_no,basement_yes,basement_no,hotwaterheating_yes,hotwaterheating_no,airconditioning_yes,airconditioning_no,prefarea_yes,prefarea_no,furnished,semi-furnished,unfurnished
5600000,0.5578300339,0.4000000000,0.0000000000,0.6666666667,1,0,0,0,0,0.0000000000,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0
3920000,-1.3862244116,0.6000000000,0.3333333333,0.0000000000,1,0,1,0,0,0.0000000000,1,-1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1
2800000,-0.5491048817,0.4000000000,0.0000000000,0.0000000000,1,0,0,0,0,0.0000000000,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0
3290000,-1.2224902887,0.2000000000,0.0000000000,0.0000000000,0,0,0,0,1,0.0000000000,0,-1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1
1960000,-0.7981652377,0.8000000000,0.0000000000,0.3333333333,0,0,0,0,0,0.0000000000,0,-1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
2660000,-1.4531017295,0.2000000000,0.0000000000,0.3333333333,1,0,0,0,0,0.0000000000,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5950000,0.5089404084,0.6000000000,0.3333333333,0.0000000000,1,0,1,0,0,0.3333333333,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0
3290000,-0.5122070512,0.2000000000,0.0000000000,0.0000000000,1,0,0,0,0,0.0000000000,0,-1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1
3395000,-0.7843285513,0.4000000000,0.0000000000,0.0000000000,1,0,1,0,0,0.6666666667,0,-1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1
6790000,3.2006371448,0.6000000000,0.3333333333,0.3333333333,1,0,0,0,0,0.6666666667,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0
4130000,0.3848714533,0.4000000000,0.0000000000,0.0000000000,1,0,1,0,0,0.0000000000,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0
4403000,-0.1247798308,0.4000000000,0.0000000000,0.0000000000,1,0,0,0,0,0.6666666667,1,-1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1
4193000,1.4295412799,0.4000000000,0.0000000000,0.0000000000,1,0,1,0,0,1.0000000000,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0
9800000,0.2764840761,0.4000000000,0.3333333333,1.0000000000,1,1,0,0,1,0.3333333333,1,-1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1
